127.0.0.1 - - [26/Jun/2020:14:44:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:27 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:28 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7944
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:28 +0700] "GET /new-jdbc/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:28 +0700] "GET /new-jdbc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:28 +0700] "GET /new-jdbc/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:28 +0700] "GET /new-jdbc/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 200 701922
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:32 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:36 +0700] "GET /new-jdbc/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 10633
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:44:57 +0700] "GET /new-jdbc/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 11118
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/admin-new?type=edit HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/config.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/lang/en.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/skins/moono-lisa/editor.css?t=J39A HTTP/1.1" 200 47801
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/styles.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/plugins/scayt/dialogs/dialog.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/plugins/copyformatting/styles/copyformatting.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/skins/moono-lisa/icons.png?t=e1836357e HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:01 +0700] "GET /new-jdbc/ckeditor/contents.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:14:45:07 +0700] "GET /new-jdbc/admin-new?type=edit&id=17 HTTP/1.1" 200 13442
