127.0.0.1 - - [03/Jul/2020:21:18:56 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:57 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:58 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7944
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:58 +0700] "GET /new-jdbc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:58 +0700] "GET /new-jdbc/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:58 +0700] "GET /new-jdbc/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:18:58 +0700] "GET /new-jdbc/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:02 +0700] "GET /new-jdbc/dang-nhap?action=login HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:02 +0700] "GET /new-jdbc/template/login/style.css HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:09 +0700] "POST /new-jdbc/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:09 +0700] "GET /new-jdbc/dang-nhap?action=login&message=username_password_invalid&alert=danger HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "POST /new-jdbc/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7362
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 200 701922
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:20 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [03/Jul/2020:21:19:23 +0700] "GET /new-jdbc/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 11123
